big_text_cleaned,len
mahaveer,8
residency,9
shantiniketan,13
apartment,9
srishti,7
solitaire,9
phase,5
uppal,5
kirti,5
nagar,5
ganga,5
legend,6
nuage,5
pjhmh,5
kurudusonnehalli,16
wjpxf,5
mangammanapalya,15
vascon,6
xotech,6
homes,5
orritel,7
hotel,5
industries,10
hinjewadi,9
maharashtra,11
orchid,6
garden,6
vijay,5
shanthi,7
whispering,10
meadows,7
madhujit,8
prestige,8
bella,5
vista,5
iyyappanthangal,15
chennai,7
prestige,8
fields,6
block,5
serenity,8
opposite,8
suncity,7
theatre,7
bharat,6
vandna,6
apartment,9
apartment,9
balaiah,7
garden,6
cross,5
laxmi,5
sagar,5
layout,6
urbando,7
eterna,6
river,5
street,6
vakola,6
santacruz,9
kannabiran,10
nagar,5
phase,5
greenwood,9
jogeshwari,10
vikroli,7
cross,5
sapthagiri,10
ratna,5
outram,6
kingsway,8
villa,5
officers,8
colony,6
lakdikapul,10
hyderabad,9
telangana,9
heights,7
appartment,10
sector,6
sector,6
iraikutty,9
street,6
amaravathi,10
layout,6
spring,6
blossom,7
bandra,6
kurla,5
complex,7
shubham,7
residency,9
raheja,6
imperia,7
pratap,6
khand,5
towere,6
panchsheel,10
greens,6
behind,6
layout,6
block,5
crescent,8
crescent,8
villas,6
manikonda,9
puppalguda,10
ozone,5
evergreens,10
compound,8
gandhi,6
nagar,5
charkop,7
kandivali,9
simphony,8
tawar,5
zostel,6
hostel,6
prakruti,8
pearl,5
silicon,7
vista,5
kannikaparameshwari,19
temple,6
vivek,5
vihar,5
phase,5
shalom,6
cottage,7
rajalakshmi,11
nagar,5
street,6
pallikaranai,12
chennai,7
cliffend,8
housing,7
society,7
marwadi,7
thottam,7
amber,5
block,5
olympia,7
opaline,7
panalal,7
terrace,7
castle,6
tower,5
tulip,5
white,5
kavitha,7
siddiq,6
nagar,5
apgos,5
society,7
silpa,5
hilltop,7
sunshine,8
complex,7
hpxrgg,6
phase,5
poorna,6
parmarth,8
niketan,7
dhammanagi,10
leaves,6
nagar,5
burari,6
prince,6
anwar,5
bhairaav,8
goldcrest,9
residency,9
sector,6
delhi,5
anjine,6
gowda,5
maatru,6
chaaya,6
rishikesh,9
housing,7
society,7
evershine,9
nagar,5
habsiguda,9
street,6
block,5
tower,5
progressives,12
celebrity,9
chamundi,8
nagar,5
block,5
janakpuri,9
saket,5
mithila,7
sainik,6
vihar,5
pitampura,9
jeevan,6
bhadra,6
officers,8
quarters,8
jeevan,6
nagar,5
bangalore,9
pushpavatika,12
parijat,7
towers,6
aishwarya,9
residency,9
number,6
cross,5
villa,5
apartment,9
cross,5
